gate_id,provider,scenario,external_event_id,signed_callback_at,result,owner,evidence_reference
RDY-PAYMENT,PAYMENT,COMPLETED,,,,,
RDY-PAYMENT,PAYMENT,FAILED,,,,,
RDY-PAYMENT,PAYMENT,CANCELLED,,,,,
RDY-PAYMENT,PAYMENT,REFUNDED,,,,,
RDY-EINVOICE,EINVOICE,ACCEPTED,,,,,
RDY-EINVOICE,EINVOICE,REJECTED,,,,,
RDY-EINVOICE,EINVOICE,CANCELLED,,,,,
RDY-NOTIFICATION,RESEND,EMAIL_DELIVERED,,,,,
RDY-NOTIFICATION,RESEND,EMAIL_FAILED,,,,,
RDY-NOTIFICATION,EXPO_FCM,PUSH_DELIVERED,,,,,
RDY-NOTIFICATION,EXPO_FCM,RETRY_SAME_ID,,,,,
